id,area,page_or_entity,what_is_wrong,how_you_saw_it,severity,proposed_fix
T-01,Dead button,KasvunpolkuControl > Sunday digest card,Button fires browser alert 'Coming soon — test digest to your inbox' instead of doing anything,src/components/kasvunpolku/control/SundayDigestCard.jsx:90,High,"Remove the button until a test-digest function exists; if kept, wire it to the digest function and show a toast 'Test digest sent to your inbox.'"
T-02,Dead button,KasvunpolkuControl > Parent journey,'Send to unwelcomed' fires alert 'Coming soon — bulk welcome flow'. The label 'unwelcomed' is also unkind wording,src/components/kasvunpolku/control/ParentJourneySection.jsx:63,High,"Remove the primary action. If kept later, relabel 'Send welcome to families not yet welcomed'"
T-03,Dead button,KasvunpolkuControl > Parent journey,'Send gentle re-engage' fires alert 'Coming soon — gentle re-engagement flow',src/components/kasvunpolku/control/ParentJourneySection.jsx:71,High,Remove the action until a real flow exists
T-04,Fake success,KasvunpolkuControl > Team progress table,Bell button shows alert 'Gentle reminder sent to {name}' but sends nothing. This tells the admin a message went when none did,src/components/kasvunpolku/control/TeamProgressTable.jsx:91,High,"Remove the bell button, or wire it to a real notification and confirm with a toast only after success"
T-05,Placeholder,Child profile > Family tab,"Visible text 'Communication log coming soon. Family notes sent, replies received.'",src/components/children/ChildFamilyTab.jsx:85,Medium,Remove element (or replace with real ParentMessage list for this child)
T-06,Placeholder / season word,Parent > This month,Empty state 'Milestones for this season are coming soon.' uses 'season' and 'coming soon',src/pages/parent/ParentThisMonth.jsx:103,Medium,'No milestones have been shared for this month yet.'
T-07,Placeholder,Parent > HeartWise book chapter,Button tooltip and aria-label 'Audio coming soon' when chapter has no audio,src/components/parent/hw/heartwise/ChapterToolbar.jsx:39-40,Low,"Hide the Listen button when there is no audio; if kept, use 'Audio not available for this chapter'"
T-08,Placeholder,Music full player,Disabled Share button with aria-label 'Share (coming soon)' and title 'Coming soon',src/components/music/player/FullPlayerDialog.jsx:59-66,Low,Remove element
T-09,Placeholder,Parent settings / HWMe > Language,"Sinhala, Tamil and Finnish shown with 'Coming soon' chip; fi.json, si.json and ta.json are empty ({}), so no translation exists",src/pages/parent/ParentSettings.jsx:187; src/pages/parent/HWMe.jsx:203; src/locales/si.json:1 (0 of 247 keys),Low,Remove the unavailable language rows until translations exist
T-10,Dead language option,My account (kasvunpolku),"Language select offers Sinhala, Tamil and Finnish with no 'coming soon' label; locale files are empty so choosing them silently shows English","src/pages/kasvunpolku/MyAccount.jsx:84-87; src/locales/fi.json, si.json, ta.json = {}",Medium,Remove the si/ta/fi options until translated
T-11,Dead link,My account > My data,"'Export observations as JSON' is href=""#"" and does nothing",src/pages/kasvunpolku/MyAccount.jsx:96,Medium,Remove element (or wire to a real export)
T-12,Internal jargon shown,Onboarding,Visible onboarding copy says 'The Phase 2 Architectural Skeleton is enforced in software.' Internal build language,src/components/onboarding/CalmOnboarding.jsx:52,Medium,"'The daily structure is built into the platform, so every school follows the same curriculum rhythm.'"
T-13,Mock data on dashboard,Teacher dashboard > Two Children to Notice,"Hard-coded SAMPLE_REVIEW children 'A.M.' age 5 and 'S.K.' age 4, 'Frangipani Room', shown to every teacher; 'Add note' button has no onClick. Marked TODO Phase 3","src/components/dashboard/TwoChildrenWidget.jsx:4-9,31-42",High,Remove widget until wired to real Child data; or drive from the teacher's classroom children and link 'Add note' to observation form
T-14,Mock data on dashboard,Teacher dashboard > Heart Bear Script,"Hard-coded SEEDED_SCRIPT and label 'Self-Awareness Pillar · Bright Bloomers · January Week 1' shown every week to every teacher, with badge 'Ready to read'. Marked TODO Phase 3","src/components/dashboard/HeartBearScript.jsx:4-14,29-31,43",High,"Remove widget, or load the approved HeartwiseScript/Printable for the current week and classroom; hide when none"
T-15,Partly hard-coded,Teacher dashboard > Pedagogy Tip,"Reads KnowledgeModule (real) but falls back to 5 hard-coded tips; 14-day no-repeat is TODO so recent_pedagogy_tip_ids is never written. Fallback tip says outdoor block is 8:00-9:00 'not negotiable', an unverified claim about centre routine","src/components/dashboard/PedagogyTipCard.jsx:6-12,34",Low,Keep live source; drop FALLBACK_TIPS (return null when none) or have the founder confirm the wording
T-16,Hard-coded data,Teacher dashboard > Festival banner,"FESTIVALS array with fixed dates; Vesak (5/12), Deepavali (10/24) and Eid al-Fitr (3/31) are lunar and move every year, so banner will show on wrong dates. SriLankanFestival entity exists but is not used. Vesak text claims 'lantern materials are ready in the Forest School Hub' (unverified)",src/components/dashboard/FestivalBanner.jsx:6-13,Medium,Read dates from SriLankanFestival entity per year; remove the 'materials are ready' sentence
T-17,Dashboard metric,Super admin dashboard > Songs awaiting review,"Card is live (Song status music_generated + approved; currently 641 + 0 = 641) but only counts songs, while the Review Queue it links to also includes HeartWiseTip and GrowthMindsetPhrase with status needs_review, so numbers can disagree. Label starts lower case: 'songs and stories awaiting your review'","src/components/dashboard/SongReviewCTACard.jsx:20-25,46; src/lib/reviewQueue.js:45-48",Medium,"Reuse loadReviewItems() count so it matches the queue; label 'Songs, stories and parent content awaiting your review'"
T-18,Dashboard metric,Super admin dashboard > Launch Readiness,'Schools have timezone configured' can never be fixed from the app: School schema has no timezone field and Edit School dialog has no timezone input (live: 2 of 3 set; Finnish World School missing),src/components/launch/LaunchReadinessCard.jsx:79-84; base44/entities/School.jsonc (no timezone); src/components/schools/EditSchoolDialog.jsx (no field),Medium,"Add timezone to School schema and edit dialog (default Asia/Colombo), or drop the check"
T-19,Dashboard metric,Super admin dashboard > Launch Readiness,"'At least one active school' counts all schools, not active ones (School has license_status, not status)",src/components/launch/LaunchReadinessCard.jsx:86-90,Low,Filter on license_status === 'active'
T-20,Dashboard metric,Super admin dashboard > Launch Readiness,"'Polaris kill switch in safe position' is hard-coded ok:true, so it always passes",src/components/launch/LaunchReadinessCard.jsx:102-105,Low,Rename to 'Polaris mode' (information only) or set ok only when master_enabled is false
T-21,Dashboard metric,Super admin dashboard > Launch Readiness,'Sunday digest schedule is enabled' does not check a schedule; it passes if any WeeklyGrowthReport exists,src/components/launch/LaunchReadinessCard.jsx:92-97,Low,Rename 'Weekly reports have been generated' or check the real scheduled job
T-22,Dashboard metric,Super admin dashboard > stat tiles,"Schools, Teachers, Activities, People are live counts (useSuperAdminStats), but Activity and User lists cap at 2000 and School at 200, so counts silently stop at the cap",src/lib/dashboard/useSuperAdminStats.js:18-31,Low,"Show '2000+' when the cap is hit, or use a count query"
T-23,Dashboard bug,Super admin dashboard > Schools list,"Badge shows school.status || 'active'; School has no status field, so every school shows 'active'",src/pages/SuperAdminDashboard.jsx:134,Low,Show school.license_status
T-24,Dashboard bug,School admin dashboard header,"Subtitle uses school.name and school.location, which do not exist (field is school_name), so the school name never shows",src/pages/SchoolAdminDashboard.jsx:19,Medium,Use school.school_name and school.city
T-25,Mock data,Reports & Progress page,"Whole page is hard-coded: fidelity 91/76, stat tiles 58/5/91%/24, weekly chart, completion trend 'Apr 1-May 5', teacher names Amara/Priya/Selin/Maya/Rita, forest adherence, AI usage, top activities, 'Fortnightly Reviews Due' A.M./N.S./S.K. No entity reads (0 calls). Period select and CSV export act on the fake data. Linked from Super admin Quick Actions","src/pages/Reports.jsx:23-80,151-163,308; src/pages/SuperAdminDashboard.jsx:19",Critical,Hide the page and remove the Quick Actions link until wired to real data; or replace each block with live queries and empty states ('No data yet for this period.')
T-26,Mock data,Activity Library,"When the Activity list is empty or the query fails, page shows SAMPLE_ACTIVITIES as if real (includes 'Leaf Printing with Autumn Colours')","src/pages/ActivityLibrary.jsx:53-150,153,157",Medium,Show empty state 'No activities yet.' and an error message on failure; delete SAMPLE_ACTIVITIES
T-27,Hard-coded text,Children notes page,Heading 'The Frangipani Room' and card line 'Frangipani Room · 2026' hard-coded for every child; also no empty state when there are no children,"src/pages/ChildrenNotes.jsx:42,54,69",Medium,Use the child's classroom name from data; add empty state 'No children in this room yet.'
T-28,Hard-coded text,Child overview / profile modal,'Frangipani Room · Bright Bloomers · 2026' hard-coded for every child,src/components/children/ChildOverviewTab.jsx:106; src/components/children/ChildProfileModal.jsx:48,Medium,"Render child's classroom, age group and year from the record; hide if missing"
T-29,Season words,Forest School page,"Session cards show 'Spring / Summer', 'Spring / Autumn', 'Autumn / Winter' (northern seasons; Colombo uses terms)","src/pages/ForestSchool.jsx:55,70,85 (rendered at 168,196)",High,"Replace with 'Term 1', 'Term 2', 'Term 3' or 'All year' as the curriculum team confirms"
T-30,Season words,Activity Library sample,"'Leaf Printing with Autumn Colours', 'autumn colours'","src/pages/ActivityLibrary.jsx:78,81",Low,Delete with SAMPLE_ACTIVITIES; or 'Leaf Printing with Garden Colours'
T-31,Season logic,Parent > Today daily moment,"currentSeason() maps months to spring/summer/autumn/winter and queries entity SeasonalMoment, which does not exist in base44/entities (call always fails silently). Card kicker shows 'A quiet season'","src/lib/parent/useDailyMomentPhoto.js:50-58,74-80; src/components/parent/hw/today/DailyMomentCard.jsx:28",Medium,Remove the SeasonalMoment branch or key it on Term 1/2/3; kicker 'A quiet moment'
T-32,Season words (metaphor),Parent > growing path hero,"Age bands named as seasons: 'in the first-light season', 'the golden-play season' etc.","src/components/kasvunpolku/parent/SeasonHero.jsx:17-21,45",Low,Keep only if founder approves the metaphor; else 'in the first-light stage'
T-33,Season words (metaphor),Parent milestone pages,'Every child grows in their own season.' / 'Every first is its own season.',src/pages/parent/ParentMilestoneLibrary.jsx:152; src/pages/parent/ParentFirstMoments.jsx:126,Low,'Every child grows at their own pace.' / 'Every first comes in its own time.'
T-34,Season words,Music categories,Category label 'Seasons' (🍂),src/lib/songCategories.js:57,Low,'Weather and nature' (or 'Monsoon and sunshine')
T-35,US spelling,Sidebar,Section header 'Programs' (appears twice),"src/components/layout/Sidebar.jsx:47,91",Medium,'Programmes'
T-36,US spelling,Curriculum canvas,"'Morning Program', 'Evening Program', 'Evening Program · N-week year'",src/components/canvas/ProgramSegment.jsx:10-11; src/components/canvas/CanvasMonthGrid.jsx:196,Medium,"'Morning Programme', 'Evening Programme'"
T-37,US spelling,Schools,"'License Plan', 'License & Limits', 'License Start', 'License End' (noun = licence in British English); also policies copy 'license & inspection bodies'","src/pages/Schools.jsx:111; src/components/schools/EditSchoolDialog.jsx:135,165,169; src/lib/policies.js:34",Medium,"'Licence plan', 'Licence and limits', 'Licence start', 'Licence end', 'licensing and inspection bodies'"
