id,area,page_or_entity,what_is_wrong,how_you_saw_it,severity,proposed_fix
R-01,RLS,Child,"Child entity has no RLS at all, so every logged-in user (parent, teacher, role=user) can read, create, update and delete every child record, including medical_notes, allergies, emergency_contacts, doctor_phone, date_of_birth and full_name.","base44/entities/Child.jsonc has no ""rls"" key (grep -L '""rls""' base44/entities/*); the fields are listed in Child.jsonc properties",critical,"Add RLS to Child. read: super_admin/admin, school_admin where data.school_id={{user.data.school_id}}, teacher where data.school_id={{user.data.school_id}}, parent where data.parent_user_ids contains {{user.id}}. create/update/delete: admin, super_admin, school_admin (same school) only."
R-02,RLS,TeacherNote,"TeacherNote has no RLS, so any logged-in user, including parents, can read and edit every teacher's notes about children.",base44/entities/TeacherNote.jsonc has no rls block,critical,"Add RLS so a note can be read and written only by its creator, admins, and school_admin/teacher of the same school_id. Parents get no access."
R-03,RLS,ParentMessage,"read is {} (open to all), so any logged-in user can list every parent-teacher message for every child and family. create/update allow every role, including 'user'.","base44/entities/ParentMessage.jsonc:101 rls.read = {}; create/update $or lists all 6 roles",critical,"read: sender (created_by_id), parents where child is theirs (store parent_user_ids on the message), staff of same school_id, admins. update: the sender only. Remove role 'user' from create."
R-04,RLS,"ParentObservation, ChildGrowthRecord, ChildMilestoneObservation, ChildPortfolioEntry, FamilyEcho, WeeklyGrowthReport","read is {} on all of these, so any logged-in user can read every child's growth, portfolio, milestone and family data across all schools. create/update are granted to every role, including parent and 'user'. A parent can therefore edit any other child's records.","ParentObservation.jsonc:62, ChildGrowthRecord.jsonc:53, ChildMilestoneObservation.jsonc:102, ChildPortfolioEntry.jsonc:124, FamilyEcho.jsonc:72, WeeklyGrowthReport.jsonc:115: rls.read = {}",critical,"Scope read and update to: admins; staff where data.school_id={{user.data.school_id}}; parents where data.parent_user_id={{user.id}} or data.child_id is in the user's child_ids (denormalise parent_user_ids onto each row if needed)."
R-05,RLS,"ParentNotification, SpecialTimeSession","ParentNotification: read {} and update {} mean anyone can read and edit any family's notifications. SpecialTimeSession: read {} means anyone can read every family's special-time logs.","ParentNotification.jsonc:94 read {} update {}; SpecialTimeSession.jsonc:34 read {}",major,"read/update: data.parent_user_id={{user.id}} (or created_by_id) plus admins."
R-06,RLS,"Classroom, School, ParentDashboardSnapshot, ParentSubscriptionPreference, SavedQuestion, ActivityCompletion, AIContentLog, Printable","None of these have RLS, so any user can write to them. School and Classroom can be created, edited or deleted by a parent or teacher. ParentDashboardSnapshot holds per-parent data and is readable by everyone.",grep -L rls base44/entities/* lists these files,major,"School/Classroom: write limited to admin, super_admin, and school_admin of the same school. ParentDashboardSnapshot/ParentSubscriptionPreference/SavedQuestion: read/write limited to the owner (parent_user_id / user_id / created_by_id) plus admins."
R-07,Route guard,"/children (ChildrenNotes)","No role check on the route (RoleRouteGuard only covers admin prefixes) or in the page. A parent or role=user who types /children sees every Child plus TeacherMessagesInbox, FamilyEchoesPanel and ParentObservationsInbox for all families.","src/App.jsx:293; src/pages/ChildrenNotes.jsx:16 base44.entities.Child.list() with no filter; src/components/layout/RoleRouteGuard.jsx:7-17 prefix list has no /children",critical,"Add a staff-only guard (teacher, school_admin, admin, super_admin) in RoleRouteGuard and filter Child by classroom/school. The real protection is the entity RLS in R-01..R-04."
R-08,Route guard,"/classrooms, /age-groups","No role check. A parent, teacher or role=user can open /classrooms and use Add/Edit/Delete Classroom, and the Classroom entity has no RLS. The page also lists all Users.","src/App.jsx:251,253; src/pages/Classrooms.jsx:59,69 'Add Classroom' button not gated; ClassroomDialog.jsx:62-79 create/update/delete",major,"Add /classrooms and /age-groups to a staff-admin list (admin, super_admin, school_admin) in RoleRouteGuard, and add RLS to Classroom and AgeGroup."
R-09,Route guard,/enrollment,"Page loads Child.list(1000) and shows every child to any role. Only the 'Enrol child' button is gated (canEnroll). Teachers and parents see all children in all schools.","src/App.jsx:252; src/pages/Enrollment.jsx:27 canEnroll, :36 Child.list; filtering only applies when role==='school_admin' (:62,:88)",major,"Guard the route for school_admin/admin/super_admin. Rely on Child RLS (R-01)."
R-10,Route guard,"/admin/story-pdf-uploader, /admin/song-kit-uploader","Explicitly exempted from the admin guard as 'open to any authenticated user', so parents and role=user can open admin upload tools that write Printable/Song records.",src/components/layout/RoleRouteGuard.jsx:38-40 isOpenInternalTool; pages have no role check,major,"Remove the isOpenInternalTool exemption, or restrict it to staff roles."
R-11,Route guard,"/reports, /policies/*, /ai-assistant, /pro-studio, /settings, /daily-plan, /curriculum/*, /music, /knowledge-hub","Staff pages are reachable by parents and role=user by URL. /pro-studio has no role check and can update Song records (approve lyrics, change pro_tier). /ai-assistant lets any role run LLM generation. Reports and policies render for any role.","src/App.jsx:278,291,292,300,353; src/pages/ProStudio.jsx:74,92,112 Song.update with no role check; RoleRouteGuard prefix list does not include these",major,"In RoleRouteGuard, send role=parent to /parent for every AppShell route except '/' redirects. Add a STAFF_ONLY check (teacher, school_admin, admin, super_admin) for the rest, and an admin check for /pro-studio."
R-12,Route guard,AppShell / RoleRouteGuard (school_admin & teacher nav),"isAdminLike() accepts only super_admin and admin, so school_admin is redirected away from /schools, /users, /kasvunpolku/admin, /network, /curriculum-canvas, /bulk-generation and /admin/music-room, even though all of these are in schoolAdminNav. Teachers are redirected from /kasvunpolku/admin, which is in teacherNav and allowed by KasvunpolkuControl. These are broken nav links.","RoleRouteGuard.jsx:19-21 isAdminLike, :42 redirect; Sidebar.jsx:78-106 schoolAdminNav, :114 teacherNav includes /kasvunpolku/admin; KasvunpolkuControl.jsx:35 allows school_admin and teacher; UserManagement.jsx:32 canManage includes school_admin",major,"Replace the single prefix list with a per-prefix role map, e.g. {'/users':[admin,super_admin,school_admin], '/schools':[...,school_admin], '/kasvunpolku/admin':[...,school_admin,teacher], '/admin/':[admin,super_admin]}."
R-13,Route guard,/parent/admin -> KasvunpolkuControl,"This admin control panel is mounted inside ParentGuard, so it is reachable by parents. The page's own check (allowed = super_admin/admin/school_admin/teacher) redirects a parent to '/', so no data is exposed today. The route is still dead and misleading: ParentGuard blocks teachers and school_admins, so only admins can use it.","src/App.jsx:244; src/pages/KasvunpolkuControl.jsx:35-36,89 'if (!isAuthorised) return <Navigate to=""/"" />'",minor,Delete the /parent/admin route (admins already have /kasvunpolku/admin and /admin/kasvunpolku).
R-14,Route guard,RoleRouteGuard fail-open,"The guard applies only when role is truthy ('role && !isAdminLike'). A user with an empty or undefined role passes into every admin page. Sidebar also defaults a missing role to 'teacher'.",RoleRouteGuard.jsx:42; Sidebar.jsx:165 'user?.role || teacher',minor,"Fail closed: treat a missing role as 'user' and block admin routes (if (isAdminRoute && !isAdminLike(role)))."
R-15,Roles,role='user' accounts,"4 of 12 users have role 'user'. The sidebar shows them teacherNav (default branch), and RLS 'create/update' lists include 'user', so unassigned accounts get teacher-level write access to child records.","query_entities User fields [role]: super_admin 2, teacher 3, parent 2, school_admin 1, user 4; Sidebar.jsx:157 default: teacherNav; e.g. ChildGrowthRecord.jsonc:53 create includes role user",major,"Give role=user a minimal nav (no child data). Remove 'user' from child-data create/update RLS. Assign real roles to the 4 accounts."
R-16,Roles,school_admin record,"The only school_admin has no school_id. School-scoped filters (Enrollment.jsx:62, BackgroundJob RLS data.school_id={{user.data.school_id}}) will show them nothing or behave unexpectedly.",query_entities User: school_admin record has no school_id field,minor,Set school_id on that user. Make UserManagement require school_id when the role is school_admin.
R-17,Impersonation,View As (ImpersonationContext/ViewAsPill),"Correctly limited to real role super_admin/admin (isSuperAdmin), audit-logged to ImpersonationEvent (RLS admin-only). Two issues: the name says 'super admin' but plain 'admin' can also impersonate. It is UI-only: pages that read useAuth().user (KasvunpolkuControl, ChildrenNotes, Reports, BackgroundJobs) still render the admin's view, and ReadOnlyGuard only blocks buttons whose text matches write verbs, so writes run with the admin's JWT.","src/lib/ImpersonationContext.jsx:28 isSuperAdmin = super_admin||admin; ViewAsPill.jsx:52; ReadOnlyGuard.jsx:6-17 text-matching; pages use useAuth not useImpersonation (e.g. ChildrenNotes.jsx:11)",minor,"Decide whether 'admin' should impersonate; if not, change line 28 to super_admin only. Make pages read effectiveUser from useImpersonation(), and block writes centrally (e.g. wrap base44 entity writes when readOnly)."
R-18,Backend functions,onParentMessageCreated,"Automation handler with no auth check. It trusts the request body (event, data) and uses asServiceRole to email teachers, school admins or linked parents, with an attacker-supplied sender_name and body. Anyone who invokes the function directly can send platform-branded emails to any child's parents (phishing).",base44/functions/onParentMessageCreated/entry.ts:12-28 reads data from req.json(); :87 asServiceRole.integrations.Core.SendEmail; no auth.me()/secret check,major,"At the top, reject unless the caller is the automation (check a shared secret header or that auth.me() is null/service). Re-load the ParentMessage by event.entity_id via asServiceRole instead of trusting the body."
R-19,Backend functions,"onActivityCompleted, onParentActivityCompletion, onParentMilestoneObserved, onSchoolCreatedClonePolicies","Automation handlers with no caller check that trust body data and write with asServiceRole. A forged call can create ChildMilestoneObservations and parent updates for arbitrary children, overwrite ParentDashboardSnapshots and ParentNotifications, and clone the whole policy suite for any school_id (duplicates).","functions/onActivityCompleted/entry.ts:17-153; onParentActivityCompletion/entry.ts:10-67; onParentMilestoneObserved/entry.ts:14-41; onSchoolCreatedClonePolicies/entry.ts:7-69 (no auth.me, no secret)",major,"Same fix as R-18: verify the automation origin (secret) and re-read the entity by event.entity_id with the service role instead of using body.data."
R-20,Backend functions,"sendWeeklySummaryNotifications, sendWeeklyVoiceNote","Scheduled jobs with no auth check that anyone can invoke. During the matching hour, repeated calls queue duplicate ParentNotifications for every parent.",functions/sendWeeklySummaryNotifications/entry.ts:11-55 (only an hour check); sendWeeklyVoiceNote/entry.ts:29-59,minor,"Require the scheduler secret or an admin caller, and dedupe per parent per week."
R-21,Backend functions,generatePrintable,"auth.me() is optional (errors are swallowed and there is no 401). An anonymous or any-role caller can trigger LLM generation and PDF upload, and overwrite any Printable record via asServiceRole (cost abuse and content tampering).","functions/generatePrintable/entry.ts:37-45 'try { user = await base44.auth.me(); } catch (_) {}' then asServiceRole InvokeLLM :76, Printable.update :225",major,"Require an authenticated staff/admin user: if (!user || ![admin,super_admin,school_admin,teacher].includes(user.role)) return 403."
