id,area,page_or_entity,what_is_wrong,how_you_saw_it,severity,proposed_fix
X-01,Performance,All pages (src/App.jsx),"Main JS bundle is 3.69 MB raw / ~970 KB gzipped. Every visitor, including parents on phones hitting /parent-login, downloads the whole admin + curriculum + music app before anything renders. App.jsx statically imports ~150 page components and uses zero React.lazy.","run_command: npx vite build --outDir /tmp/fpbuild -> assets/index-45DC4TbD.js 3,690,144 bytes; gzip -c | wc -c = 993,503; grep -c 'lazy(' src/App.jsx = 0",High,"Route-level code splitting: convert page imports in src/App.jsx to React.lazy() + <Suspense>, at minimum split /parent/*, /admin/*, /fws/*, /curriculum/*, music/story studios into separate chunks. Target <300 KB gzip for the parent/public entry."
X-02,Build config,vite.config.js,"Vite logLevel is set to 'error', which hides the >500 KB chunk-size warning and every other build warning, so bundle bloat goes unnoticed.","vite.config.js line: logLevel: 'error', // Suppress warnings, only show errors; build output shows no chunk warning despite a 3.69 MB chunk",Low,"Set logLevel back to 'warn' (or 'info') and optionally build.chunkSizeWarningLimit so regressions show up."
X-03,Auth / routing,"/parent-login, /register-training, /player","The routes marked as public ('no auth required') sit inside AuthenticatedApp, which returns navigateToLogin() before <Routes> renders whenever the public-settings call answers auth_required. If the app is set to private, anonymous parents/trainees are sent to the Base44 login page and never see these public pages. Could not confirm on the live site (see X-15).","Code read: src/App.jsx AuthenticatedApp -> if (authError.type === 'auth_required') { navigateToLogin(); return null; } comes before <Route path=""/parent-login""> and <Route path=""/register-training"">; src/lib/AuthContext.jsx sets auth_required from the /public-settings 403",High (needs live check),"Render the public routes outside the auth gate (e.g. check location.pathname against a PUBLIC_PATHS list before calling navigateToLogin, or wrap only private routes in a guard). Then check logged-out in an incognito window."
X-04,Code quality,52 files under src/components and src/pages,"ESLint fails: 90 errors (89 unused imports plus 1 config error). This isn't blocking now, but 'npm run lint' can't be used as a CI gate.","run_command: npx eslint . --quiet -> '90 problems (90 errors, 0 warnings) 89 errors ... potentially fixable with the --fix option'",Low,"Run 'npm run lint:fix' once (auto-removes the unused imports), then keep lint clean."
X-05,Code quality,src/lib/useSongFavourites.js:110,"An eslint-disable comment names rule 'react-hooks/exhaustive-deps', but that rule is not active in eslint.config.js, so ESLint reports a config error and hooks dependency bugs are not checked anywhere.","eslint output: '110:5 error Definition for rule 'react-hooks/exhaustive-deps' was not found'",Low,"Enable pluginReactHooks.configs.recommended rules (rules-of-hooks + exhaustive-deps) in eslint.config.js, or remove the stale disable comment."
X-06,Code quality,eslint.config.js,"Lint only covers src/components, src/pages and src/Layout.jsx. src/App.jsx, src/lib, src/fws, src/hooks and src/utils are never linted, which is why 25 unused page imports in App.jsx went unflagged.","eslint.config.js files: ['src/components/**','src/pages/**','src/Layout.jsx'], ignores src/lib/**",Low,"Widen the files glob to src/**/*.{js,jsx} (keep ignoring components/ui)."
X-07,Dead code,src/App.jsx,"25 page components are imported but never routed, so they are dead code and still sit in the bundle: MyChild, WeeklySummary, TipsAndGuidance, Messages, MyAccount, HWGrowth, ParentDashboard, ParentInbox, ParentWeeklySummary, ParentSongs, ParentGrowthMindset, ParentReflect, ParentJourney, ParentMilestoneLibrary, ParentMessages, ParentHeartWise, ParentHeartWiseDetail, ParentWords, ParentQuestions, ParentSettings, ParentHeartWiseBook, ParentPath, ParentReadingNumbers, ParentFirstWords, ParentFirstMoments.","run_command: for each default import in src/App.jsx, grep for '<Name' JSX usage -> 0 hits for the 25 names listed",Medium,"Delete the unused imports (and the page files, once confirmed retired, since their routes now LegacyRedirect elsewhere). This also shrinks X-01."
X-08,Dead code,"src/pages/OAuthConsent.jsx, src/pages/kasvunpolku/SharedCalendars.jsx","Two page files are not imported or routed anywhere, so they can't be reached.","run_command: grep across src for an import of each page basename -> no importer for these two",Low,"Route them if needed (e.g. an OAuth consent flow), otherwise delete them."
X-09,Routing,/my-child/* and /kasvunpolku/* redirects,"Some legacy redirects take two hops: /my-child/first-words -> /parent/first-words -> /parent/playground/words; /my-child/path -> /parent/path -> /parent/playground/path; /my-child/reading-numbers -> /parent/reading-numbers -> /parent; first-moments the same. All of them end on a real route (none are broken), but the /my-child/* and /kasvunpolku/* ones sit inside AppShell, so the staff shell mounts before the parent redirect.","Code read of src/App.jsx Navigate/LegacyRedirect targets, cross-checked against the defined paths; no duplicate path= values (sort | uniq -d empty)",Low,"Point the legacy Navigate targets straight at the final path, and move the /my-child/* and /kasvunpolku/* redirects out of the AppShell element."
X-10,Routing,"/parent/admin, /kasvunpolku/admin, /admin/kasvunpolku","The same admin screen (KasvunpolkuControl) is mounted on 3 paths. /parent/admin renders it inside the parent-only ParentGuard + ParentShell, which exposes a staff admin screen in the parent area.","src/App.jsx: <Route path=""/parent/admin"" element={<KasvunpolkuControl />} /> inside <ParentGuard><ParentShell>",Medium,"Remove /parent/admin (or change it to a redirect to /admin/kasvunpolku), and make sure KasvunpolkuControl checks for an admin role itself."
