id,area,page_or_entity,what_is_wrong,how_you_saw_it,severity,proposed_fix,status
C-01,Seasons / AI generator,base44/functions/generateCurriculumMonth/entry.ts,"The month generator prompt tells the AI Sri Lanka is in the Southern Hemisphere ('Southern Hemisphere — Sri Lanka / India / Australia / NZ') and asks for an 'evocative seasonal theme' and 'seasonal nature connection in Southern Hemisphere'. Sri Lanka is tropical, 7°N. This is the root cause of the NZ/Australia summer/autumn months in the data.","entry.ts:165, :180, :183, :192 (grep 'Hemisphere')",critical,"Replace line 165 with 'Colombo, Sri Lanka (tropical, 7°N; monsoon calendar; Sri Lankan school Term 1/2/3)'. Remove 'seasonal' from :180/:183/:192 and ask for a monsoon/local-festival nature focus instead. Add a guard that rejects output containing spring/summer/autumn/winter/hemisphere.",fixed
L-01,Data / files,"FinnipedResource (Wordwise, Wordwise Lighthouse)","13 of 182 published books have a file_url that returns 403 Access Denied, so teachers can't open or download them. All 13 are the media.base44.com/files/public/<app>/files/wordwise/... paths (Wordwise teacher guides, workbooks and session banks for tiny_roots/little_sprouts/little_wonders/pre_primary, plus the Lighthouse Manual and 9 Picture-Word Worksheets). The flip book's fallback iframe then shows the error page.",Node fetch from the Base44 sandbox against every published file_url: 168 returned 200 application/pdf with %PDF- magic bytes; 13 returned 403 on both HEAD and ranged GET (x-cache: Error from cloudfront). IDs are in library_ids.json broken_file_url.,critical,Re-upload the 13 PDFs through the normal UploadFile path (base44.app/api/apps/.../files/mp/public/...) and update file_url. Alternatively fix permissions on the /files/wordwise/ prefix. Copies are in the Finniped Library bundle: source_path wordwise/<band>/...,open
L-02,Safeguarding,FinnipedResource hw1 + FinnipedPlacement (HeartWise),"The body-safety gate was lost when HeartWise hw1 replaced the old books. 12 archived HeartWise records had safeguarding_gated=true and audience=teacher_parent_only (Pre-Primary and Bright Bloomers workbook, teacher guide, picture cards, session bank). Their 8 hw1 successors are all safeguarding_gated=false, and the workbooks are audience=child. All 1,440 placements are ungated, including the body-safety sessions HW-PP-S088, HW-BB-S094 and HW-LW-S094 ('My body belongs to me', 'My body is mine: keeping safe'), whose child_workbook pages have audience=child.","jq over FinnipedResource: archived Heartwise with safeguarding_gated=true is 12, and their superseded_by targets have gated=false. FinnipedPlacement: safeguarding_gated=true is 0 of 1440. Lists: library_ids.json safeguarding_gate_lost_in_hw1, hw1_successors_now_ungated, body_safety_placements_ungated.",critical,"Have the safeguarding lead confirm the policy. Then set safeguarding_gated=true (and audience teacher_parent_only where appropriate) on the body-safety placements, and on any hw1 book whose body-safety pages must not reach child/parent surfaces. Add a check to the importer so gate and audience carry over from the records listed in replaces.","fixed (8 hw1 books + 6 body-safety sessions gated, teacher_parent_only)"
R-01,RLS,Child,"Child entity has no RLS at all, so every logged-in user (parent, teacher, role=user) can read, create, update and delete every child record, including medical_notes, allergies, emergency_contacts, doctor_phone, date_of_birth and full_name.","base44/entities/Child.jsonc has no ""rls"" key (grep -L '""rls""' base44/entities/*); the fields are listed in Child.jsonc properties",critical,"Add RLS to Child. read: super_admin/admin, school_admin where data.school_id={{user.data.school_id}}, teacher where data.school_id={{user.data.school_id}}, parent where data.parent_user_ids contains {{user.id}}. create/update/delete: admin, super_admin, school_admin (same school) only.","fixed (RLS: staff same school, parents own child, admins all)"
R-02,RLS,TeacherNote,"TeacherNote has no RLS, so any logged-in user, including parents, can read and edit every teacher's notes about children.",base44/entities/TeacherNote.jsonc has no rls block,critical,"Add RLS so a note can be read and written only by its creator, admins, and school_admin/teacher of the same school_id. Parents get no access.","fixed (RLS: staff same school; parents read-only, pending per-child field)"
R-03,RLS,ParentMessage,"read is {} (open to all), so any logged-in user can list every parent-teacher message for every child and family. create/update allow every role, including 'user'.",base44/entities/ParentMessage.jsonc:101 rls.read = {}; create/update $or lists all 6 roles,critical,"read: sender (created_by_id), parents where child is theirs (store parent_user_ids on the message), staff of same school_id, admins. update: the sender only. Remove role 'user' from create.",partly (RLS: no-role and other-school staff blocked; parent per-child scope pending)
R-04,RLS,"ParentObservation, ChildGrowthRecord, ChildMilestoneObservation, ChildPortfolioEntry, FamilyEcho, WeeklyGrowthReport","read is {} on all of these, so any logged-in user can read every child's growth, portfolio, milestone and family data across all schools. create/update are granted to every role, including parent and 'user'. A parent can therefore edit any other child's records.","ParentObservation.jsonc:62, ChildGrowthRecord.jsonc:53, ChildMilestoneObservation.jsonc:102, ChildPortfolioEntry.jsonc:124, FamilyEcho.jsonc:72, WeeklyGrowthReport.jsonc:115: rls.read = {}",critical,Scope read and update to: admins; staff where data.school_id={{user.data.school_id}}; parents where data.parent_user_id={{user.id}} or data.child_id is in the user's child_ids (denormalise parent_user_ids onto each row if needed).,partly (RLS added; parent per-child scope pending on growth/milestone/portfolio)
R-07,Route guard,/children (ChildrenNotes),"No role check on the route (RoleRouteGuard only covers admin prefixes) or in the page. A parent or role=user who types /children sees every Child plus TeacherMessagesInbox, FamilyEchoesPanel and ParentObservationsInbox for all families.",src/App.jsx:293; src/pages/ChildrenNotes.jsx:16 base44.entities.Child.list() with no filter; src/components/layout/RoleRouteGuard.jsx:7-17 prefix list has no /children,critical,"Add a staff-only guard (teacher, school_admin, admin, super_admin) in RoleRouteGuard and filter Child by classroom/school. The real protection is the entity RLS in R-01..R-04.",partly (parents and no-role accounts blocked; data RLS still open)
T-25,Mock data,Reports & Progress page,"Whole page is hard-coded: fidelity 91/76, stat tiles 58/5/91%/24, weekly chart, completion trend 'Apr 1-May 5', teacher names Amara/Priya/Selin/Maya/Rita, forest adherence, AI usage, top activities, 'Fortnightly Reviews Due' A.M./N.S./S.K. No entity reads (0 calls). Period select and CSV export act on the fake data. Linked from Super admin Quick Actions","src/pages/Reports.jsx:23-80,151-163,308; src/pages/SuperAdminDashboard.jsx:19",critical,Hide the page and remove the Quick Actions link until wired to real data; or replace each block with live queries and empty states ('No data yet for this period.'),fixed
C-02,Seasons / data,CurriculumMonth (Tiny Roots),"7 Tiny Roots month records were generated with Southern-Hemisphere season themes (e.g. 'Whispers of Summer', 'Last Days of Summer', 'Autumn arrivals', 'First Whispers of Autumn', 'Southern Hemisphere summer', 'NZ summer landscape', 'Autumn Equinox'). They hang 28 weeks, 140 days, 59 Activities (theme_id) and 3 FinnipedResource week-links. Year values are 2025/2027 plus one extra Feb 2026.","query CurriculumMonth (115 rows) + jq season scan: ids 69f83a4c73d928e7025d9a40, 69f9b957c946f5452e99f020, 69f9bbf7ed9a20f525226552, 69f9bc74dd185ff25ffd7116, 69f9bcef96a092e3c7ace2bb, 69f9c4a0eff18e22049f73bb, 69f9c52654ec545fa81c50ed",major,"Retire these 7 months with their 28 weeks, 140 days and 59 activities: set is_master=false or delete them after an export. Unlink the 3 resources. A full id list is in curriculum_notes.md.",fixed (archived + prompt fixed)
C-03,Duplicates,CurriculumMonth,"49 of 60 (age band, month) slots hold more than one month record (115 records for 60 slots; 55 are surplus). 21 slots have conflicting themes: for all 5 bands, Feb is 'My Inner Circle' or 'Seeds and Growing', Mar is 'Home and Community' or 'Precious Water', Apr is 'City Life and Around the World' or 'Every Part of Me' (the April record is titled 'New Year…' but its theme field says 'Every Part of Me'), and Nov is 'Designing the Future' or 'In Wonderland' (4 bands).","jq group_by(age_group_id,month) on CurriculumMonth: 49 slots >1, 55 extra, conflicting-theme list in notes",major,"Choose one canonical record per (band, month) and keep the batch of 2026-05-03 17:5x (69f78aae…/69f78b0e…/69f78b75…/69f7201a…/69f78bed…), which FinnipedPlacement.app_pillar matches. Merge any unique weeks or days into it. Archive the rest. Add a unique rule on (age_group_id, month, is_master, school_id).",fixed (archived; pages filter is_archived)
C-04,Duplicates / UI,"CurriculumTier, CurriculumCalendar, DailyPlan","Pages settle duplicate month records arbitrarily. They use `if (!byMonth[m.month] || m.is_master)`, but every record is is_master=true, so whichever record comes back last wins. DailyPlan takes the first. The year is ignored. So the same band and month can show different themes on different pages, and 2025/2027 Southern-Hemisphere months can surface.","CurriculumTier.jsx:46-53; CurriculumCalendar.jsx:47-53; DailyPlan.jsx:99,176-177",major,"After the data is deduplicated, pick deterministically (filter by year or an explicit is_current flag, then sort by created_date) and share one helper across all three pages.",fixed
C-05,Duplicates,CurriculumWeek (January),"All 5 January month records have 8 weeks each (W1–W4 twice) from the 19:15 and 19:20 batches of 2026-05-03. The Month page 'Weekly Breakdown' lists W1,W1,W2,W2… and the Calendar shows 8 week cards for January.","jq: 5 month ids with weeks=[1,1,2,2,3,3,4,4] (69f7201a66cfacfd1a59487c, 69f78aae5ea32b793e9f1faa, 69f78b0e4ed61d3b1fb3ec3c, 69f78b759aa53b04cb8d795d, 69f78bedba33dc8d97b29512)",major,Keep one set of 4 weeks per January month. The 20 extra weeks are listed in the notes. Move their days to the kept weeks or archive them.,fixed
C-06,Duplicates / broken links,CurriculumDay,"82 of 480 morning weeks have more than 5 days: 74 have 10, 6 have 15, 2 have 25. Days from other weeks (up to 15 different dates) are attached to one week, and 82 weeks repeat a weekday. The Week page fetches only 10 days, so 15- and 25-day weeks are cut off and duplicates show. The weeks are concentrated in Oct–Dec (48) and Tiny Roots January.","jq group_by(curriculum_week_id) on 2,870 CurriculumDay: 5d:398, 10d:74, 15d:6, 25d:2; CurriculumWeekPage.jsx:68 (limit 10)",major,"Re-parent each day to the week that contains its date, dedupe to one day per weekday, and add a check that a week has at most 5 days (Mon–Fri).",open
