id,area,page_or_entity,what_is_wrong,how_you_saw_it,severity,proposed_fix
L-01,Data / files,"FinnipedResource (Wordwise, Wordwise Lighthouse)","13 of 182 published books have a file_url that returns 403 Access Denied, so teachers can't open or download them. All 13 are the media.base44.com/files/public/<app>/files/wordwise/... paths (Wordwise teacher guides, workbooks and session banks for tiny_roots/little_sprouts/little_wonders/pre_primary, plus the Lighthouse Manual and 9 Picture-Word Worksheets). The flip book's fallback iframe then shows the error page.",Node fetch from the Base44 sandbox against every published file_url: 168 returned 200 application/pdf with %PDF- magic bytes; 13 returned 403 on both HEAD and ranged GET (x-cache: Error from cloudfront). IDs are in library_ids.json broken_file_url.,critical,Re-upload the 13 PDFs through the normal UploadFile path (base44.app/api/apps/.../files/mp/public/...) and update file_url. Alternatively fix permissions on the /files/wordwise/ prefix. Copies are in the Finniped Library bundle: source_path wordwise/<band>/...
L-02,Safeguarding,FinnipedResource hw1 + FinnipedPlacement (HeartWise),"The body-safety gate was lost when HeartWise hw1 replaced the old books. 12 archived HeartWise records had safeguarding_gated=true and audience=teacher_parent_only (Pre-Primary and Bright Bloomers workbook, teacher guide, picture cards, session bank). Their 8 hw1 successors are all safeguarding_gated=false, and the workbooks are audience=child. All 1,440 placements are ungated, including the body-safety sessions HW-PP-S088, HW-BB-S094 and HW-LW-S094 ('My body belongs to me', 'My body is mine: keeping safe'), whose child_workbook pages have audience=child.","jq over FinnipedResource: archived Heartwise with safeguarding_gated=true is 12, and their superseded_by targets have gated=false. FinnipedPlacement: safeguarding_gated=true is 0 of 1440. Lists: library_ids.json safeguarding_gate_lost_in_hw1, hw1_successors_now_ungated, body_safety_placements_ungated.",critical,"Have the safeguarding lead confirm the policy. Then set safeguarding_gated=true (and audience teacher_parent_only where appropriate) on the body-safety placements, and on any hw1 book whose body-safety pages must not reach child/parent surfaces. Add a check to the importer so gate and audience carry over from the records listed in replaces."
L-03,UI / filters,src/pages/FinnipedLibrary.jsx:70,"Choosing an age band hides every cross-band book. The filter `if (band && r.band !== band) return false` drops records with band=''. So a teacher who picks their band loses 38 published all-band books: Numenature Start Here, the Concept and Curriculum Guide, 12 Concept Books, Assessment, Maths Games, Poster Packs, Wordwise Decodable Readers, the Lighthouse Manual and Treasure Books.","Code read, line 70. Data: 38 published records have band='' and band_label 'All bands / birth–6'.",major,"Change the filter to `if (band && r.band && r.band !== band) return false`, so cross-band books stay visible (optionally in an 'All ages' group). Don't assign fake bands to genuinely cross-band books."
L-04,Data / band,"FinnipedResource (38 published, band empty)",38 published records have no band. The 20 Numenature v3 guides and concept books and the Wordwise/Lighthouse readers are genuinely cross-band (label 'All bands / birth–6'). The 10 Treasure Books and 3 Numinature Step One records come from 'Toddlers' source folders and may belong to a band.,"jq: status=published and band=='' gives 38 (Numenature v3 20, Treasure Books 10, Numinature Step One 3, Wordwise 3, Wordwise Lighthouse 2).",minor,"Leave the cross-band ones empty and fix the filter (see L-03). For Treasure Books and Numinature Step One, confirm with the author. The low-confidence proposed_band is in library_ids.json published_no_band."
L-05,Data / band,FinnipedResource Bodywise + Artelier (14 published),"The band doesn't match the age in the title. The band follows the series level number rather than the age range: e.g. 'Bodywise Movement Workbook 02 Toddlers 1-2y' is little_sprouts (2–3y), 'Bodywise ... 05 Kindergarten 4-5y' is pre_primary (5–6y), and 'Artelier ... 04 Pre-KG 3-4y' is bright_bloomers (4–5y). Teachers filtering by band get content pitched a year off.","Title age range compared with band_label for published Bodywise/Artelier records. Wonderwild, Lifecraft and Forestwise are consistent.",major,"Decide whether band means series level or child age. If it means age, remap per library_ids.json published_band_title_age_mismatch.proposed_band. Note this would leave Bodywise with no pre_primary book, and tiny_roots with two levels."
L-06,Data / versions,FinnipedResource Numinature Step One (3) + Treasure Books 'Numenature 01 Student Workbook' / '02 Teacher Guide',"Older Numenature material is still published beside the 60-book Numenature v3 set. The v3 switch-over archived 94 old Numenature records but not these 5, so teachers see two different Numenature programmes.","jq: published pillar 'Numinature Step One' = 3; Treasure Books titles '^Numenature 0' = 2. None of them appears in any v3 record's replaces list (126 replaces refs, all resolve to archived records).",major,"Confirm with the curriculum owner. If superseded, archive them with superseded_by pointing at the closest v3 book (e.g. the Teacher Guide / Activity Workbook), so favourites follow."
L-07,Data / drafts,FinnipedResource drafts (40 essential),"40 drafts are tagged necessity=essential but not published. They include Wordwise Lighthouse 1 Method and Concept Guide and kits 4/5/6 (while the Manual and worksheet 9 are live), Forestwise Tropical Safety Handbook, the Forest Activity Compendium, and the Wordwise Year Map Curriculum and Classroom Set per band. All Numenature v3 and HeartWise hw1 books are published (60/60 and 39/39), so no v3/hw1 book is stuck in draft.","jq: status=draft and necessity=essential = 40. Status by bundle: v3 published 60, hw1 published 39, no v3/hw1 drafts.",minor,"Review the list in library_ids.json drafts_essential_review_for_publish. Publish the Lighthouse set and the Forestwise Safety Handbook, or downgrade necessity. The short WOR-xx-TG/WB drafts (11–21 pp) look like fragments of the published guides and can stay draft or be archived."
L-08,Data / drafts,FinnipedResource Foundation (4 drafts),"Three versions of the Finniped Master Plan Guide (v3, v4 Ultimate, v5) plus the Finnish Pedagogy Curriculum v6 are all draft. The Foundation pillar has nothing published, and the older versions would clutter it if it were ever published.","jq: pillar=Foundation, status draft x4",minor,Publish only the current version (v5 / v6) and archive v3 and v4 with superseded_by.
L-09,Data / contents,FinnipedResource (83 published),"83 published books have no contents list, page_w or page_h: every non-v3/hw1 pillar (Artelier, Bodywise, Forestwise, Lifecraft, Wonderwild, Wordwise, Lighthouse, Treasure Books, Numinature). The reader shows 'This book has no contents list'. 'HeartWise Beginnings: the First 1,000 Days — Tiny Roots' (37 pp) has a single contents entry.","jq: published with empty contents = 83 (all bundle_version null). All 99 v3/hw1 books have contents, all page numbers are within 1..pages and in order.",minor,"Run the contents/page-size extractor over the legacy published books (outline or bookmarks from the PDF), and fix the 1,000 Days contents."
L-10,Data / size,FinnipedResource (14 published oversized),"14 published books have oversized=true (up to 620 pp / 16.2 MB: Wordwise Session Lesson Banks, the Decodable Readers x2, the Lighthouse Manual, Numinature Step One). FlipBook uses pdfjs disableAutoFetch:false, so it downloads the whole file, and books over 400 pages open in the plain iframe, which shows only the first page on iOS.","jq oversized=true and status=published = 14. Code: src/fws/components/FlipBook.jsx:19 FLIP_LIMIT=400, :137 disableAutoFetch:false.",minor,"Split the oversized books as the schema note says (>20MB or >150pp). In FlipBook, set disableAutoFetch:true with range requests (the server supports 206)."
