id,area,page_or_entity,what_is_wrong,how_you_saw_it,severity,proposed_fix
C-01,Seasons / AI generator,base44/functions/generateCurriculumMonth/entry.ts,"The month generator prompt tells the AI Sri Lanka is in the Southern Hemisphere ('Southern Hemisphere — Sri Lanka / India / Australia / NZ') and asks for an 'evocative seasonal theme' and 'seasonal nature connection in Southern Hemisphere'. Sri Lanka is tropical, 7°N. This is the root cause of the NZ/Australia summer/autumn months in the data.","entry.ts:165, :180, :183, :192 (grep 'Hemisphere')",Critical,"Replace line 165 with 'Colombo, Sri Lanka (tropical, 7°N; monsoon calendar; Sri Lankan school Term 1/2/3)'. Remove 'seasonal' from :180/:183/:192 and ask for a monsoon/local-festival nature focus instead. Add a guard that rejects output containing spring/summer/autumn/winter/hemisphere."
C-02,Seasons / data,CurriculumMonth (Tiny Roots),"7 Tiny Roots month records were generated with Southern-Hemisphere season themes (e.g. 'Whispers of Summer', 'Last Days of Summer', 'Autumn arrivals', 'First Whispers of Autumn', 'Southern Hemisphere summer', 'NZ summer landscape', 'Autumn Equinox'). They hang 28 weeks, 140 days, 59 Activities (theme_id) and 3 FinnipedResource week-links. Year values are 2025/2027 plus one extra Feb 2026.","query CurriculumMonth (115 rows) + jq season scan: ids 69f83a4c73d928e7025d9a40, 69f9b957c946f5452e99f020, 69f9bbf7ed9a20f525226552, 69f9bc74dd185ff25ffd7116, 69f9bcef96a092e3c7ace2bb, 69f9c4a0eff18e22049f73bb, 69f9c52654ec545fa81c50ed",High,"Retire these 7 months with their 28 weeks, 140 days and 59 activities: set is_master=false or delete them after an export. Unlink the 3 resources. A full id list is in curriculum_notes.md."
C-03,Duplicates,CurriculumMonth,"49 of 60 (age band, month) slots hold more than one month record (115 records for 60 slots; 55 are surplus). 21 slots have conflicting themes: for all 5 bands, Feb is 'My Inner Circle' or 'Seeds and Growing', Mar is 'Home and Community' or 'Precious Water', Apr is 'City Life and Around the World' or 'Every Part of Me' (the April record is titled 'New Year…' but its theme field says 'Every Part of Me'), and Nov is 'Designing the Future' or 'In Wonderland' (4 bands).","jq group_by(age_group_id,month) on CurriculumMonth: 49 slots >1, 55 extra, conflicting-theme list in notes",High,"Choose one canonical record per (band, month) and keep the batch of 2026-05-03 17:5x (69f78aae…/69f78b0e…/69f78b75…/69f7201a…/69f78bed…), which FinnipedPlacement.app_pillar matches. Merge any unique weeks or days into it. Archive the rest. Add a unique rule on (age_group_id, month, is_master, school_id)."
C-04,Duplicates / UI,"CurriculumTier, CurriculumCalendar, DailyPlan","Pages settle duplicate month records arbitrarily. They use `if (!byMonth[m.month] || m.is_master)`, but every record is is_master=true, so whichever record comes back last wins. DailyPlan takes the first. The year is ignored. So the same band and month can show different themes on different pages, and 2025/2027 Southern-Hemisphere months can surface.","CurriculumTier.jsx:46-53; CurriculumCalendar.jsx:47-53; DailyPlan.jsx:99,176-177",High,"After the data is deduplicated, pick deterministically (filter by year or an explicit is_current flag, then sort by created_date) and share one helper across all three pages."
C-05,Duplicates,CurriculumWeek (January),"All 5 January month records have 8 weeks each (W1–W4 twice) from the 19:15 and 19:20 batches of 2026-05-03. The Month page 'Weekly Breakdown' lists W1,W1,W2,W2… and the Calendar shows 8 week cards for January.","jq: 5 month ids with weeks=[1,1,2,2,3,3,4,4] (69f7201a66cfacfd1a59487c, 69f78aae5ea32b793e9f1faa, 69f78b0e4ed61d3b1fb3ec3c, 69f78b759aa53b04cb8d795d, 69f78bedba33dc8d97b29512)",High,Keep one set of 4 weeks per January month. The 20 extra weeks are listed in the notes. Move their days to the kept weeks or archive them.
C-06,Duplicates / broken links,CurriculumDay,"82 of 480 morning weeks have more than 5 days: 74 have 10, 6 have 15, 2 have 25. Days from other weeks (up to 15 different dates) are attached to one week, and 82 weeks repeat a weekday. The Week page fetches only 10 days, so 15- and 25-day weeks are cut off and duplicates show. The weeks are concentrated in Oct–Dec (48) and Tiny Roots January.","jq group_by(curriculum_week_id) on 2,870 CurriculumDay: 5d:398, 10d:74, 15d:6, 25d:2; CurriculumWeekPage.jsx:68 (limit 10)",High,"Re-parent each day to the week that contains its date, dedupe to one day per weekday, and add a check that a week has at most 5 days (Mon–Fri)."
C-07,Coverage gaps,FinnipedPlacement vs CurriculumWeek,"Numenature and HeartWise sessions sit only in months 1,2,3,5,6,7,9,10,11. April, August and December (weeks 13–16 of each term) have weekly plans but no sessions, so 12 weekly plans per band (60 in total) show no 'This week in Heartwise/Numenature'. The brief says Numenature sits in months 1–9, but the data uses 1–3, 5–7 and 9–11.","jq on 1,440 placements: every pillar and band covers 36 slots, months=[1,2,3,5,6,7,9,10,11]; CurriculumWeek has 48 slots per band",High,"Decide on purpose that each term has 12 teaching weeks plus consolidation weeks, and label April, August and December weeks 'Term N · Consolidation'. Show a 'Review week — revisit sessions X–Y' card instead of nothing. Put the '36 = 3 terms × 12 weeks' mapping in the notes and the UI."
C-08,Placements / UI,FinnipedWeekPanel,"If placement or resource fetches fail, the error is swallowed and the panel shows nothing (.catch → []). If a resource has no file_url, the 'View p.N' button is simply left out with no message. Every week view downloads the whole FinnipedResource table (list 5000) only to find 2 rows.","FinnipedWeekPanel.jsx:47, :57-67 (list 5000 at :64), :121",Medium,Show an inline 'Couldn't load this week's sessions — retry' state. Show 'PDF not available' when there is no URL. Filter resources by resource_row_id instead of listing everything.
C-09,Placements / UI,DailyPlan,"When the date matches no CurriculumDay, DailyPlan falls back to week 1 of the month for that weekday. It then passes that week's number as weekInMonth, so the Finniped panel shows Week 1 sessions all month.","DailyPlan.jsx:192-197, :630-634",Medium,"Work out the week from the date and the term calendar, not from a CurriculumDay match. Pass term and term_week to the panel."
C-10,Age groups,DailyPlan age-group list,"The morning dropdown filters only on program_type, so the 5 merged duplicate tiers (69f724cc… ids) appear next to the canonical ones. Choosing one, or getting one as ageGroups[0], gives an empty plan and no Finniped sessions, because months and placements are keyed to canonical ids.","DailyPlan.jsx:107-124; AgeGroup query (14 rows: 5 canonical, 9 merged)",Medium,Filter status==='canonical' as CurriculumCalendar.jsx:31-34 already does.
C-11,Age groups,AgeGroup (evening) + CurriculumHome,"All 4 evening age groups are status 'merged', program 'morning', and point merged_into morning tiers with mismatched ages: Blossoms (30–36m) → Bright Bloomers (4–5y), Little Wonders Evening (12–18m) → Little Wonders (3–4y), Young Wanderers (18–30m) → Little Sprouts. The evening pages still use them. CurriculumHome picks between same-name tiers by heartwise_framework, not by status.",AgeGroup query; CurriculumHome.jsx:41-49,Medium,"Give evening tiers their own canonical status (program='evening') and clear merged_into, or map them to age-correct tiers. In CurriculumHome, prefer status==='canonical'."
C-12,Empty/error states,"CurriculumWeekPage, CurriculumMonth, CurriculumTier, CurriculumCalendar, DailyPlan, Evening*, Printables","Loading spinners have no error state. Promise.all(...).then() has no .catch and async loaders have no try/catch, so any failed request (for example a 429 rate limit) leaves 'Loading week…', 'Loading theme…', 'Loading tier…' and so on stuck forever. CurriculumDayPage turns errors into 'Day not found.' An empty week does not crash: it shows 'Day plans for this week are being prepared'.","CurriculumWeekPage.jsx:63-82; CurriculumMonth.jsx:47-77,101; CurriculumTier.jsx:30-59; CurriculumCalendar.jsx:30-74; DailyPlan.jsx:95-104,139-206; EveningYearOverview.jsx:28-45; EveningWeekPage.jsx:42-59; Printables.jsx:108-109; CurriculumDayPage.jsx:51-73",Medium,Add .catch/finally that sets loading=false plus an error message with a Retry button. Tell 'not found' apart from 'failed to load'.
C-13,Fake data,ActivityLibrary (/activities),"If the Activity fetch fails or returns empty, the page quietly shows the hard-coded SAMPLE_ACTIVITIES as if they were real (including 'Leaf Printing with Autumn Colours').","ActivityLibrary.jsx:53-81,151-157",Medium,"Show an error or empty state instead of sample data, and remove the SAMPLE_ACTIVITIES seed."
C-14,Term labelling,"Evening programme (programType.js, EveningYearOverview, EveningTermPage, DailyPlan)","Evening uses 4 terms of 13 weeks ('Four Terms · 52 Weeks', 'Term 4 · Completing & Celebrating'), which breaks the Term 1/2/3 rule. The 52 evening CurriculumWeek records carry term_number 1–4. DailyPlan works out the evening week as a calendar week from 1 January, not from the school term.","programType.js:27-62; EveningYearOverview.jsx:126,143; DailyPlan.jsx:144-146; CurriculumWeek evening rows term_number 1..4 (52 rows)",High,"Move evening onto the Sri Lankan Term 1/2/3 calendar (for example Term 1 weeks 1–13, Term 2 weeks 1–13, Term 3 weeks 1–13 plus holiday weeks). Rename 'Term 4' and derive the week from the term start date."
C-15,Term labelling,Morning Week/Day/Calendar pages,"Morning weeks carry no term: all 480 have null term_number and term_name. The Week page shows 'Week 1–4' (week of the month), Week titles read 'January W1 · Open', the Calendar shows 'January — theme' and 'Week N' with no term, and the Day page shows none. Only the Tier and Month pages show 'Term N', as small secondary text.","CurriculumWeek jq term_number null:480; CurriculumWeekPage.jsx:101-103,108; CurriculumCalendar.jsx:136,215,231; CurriculumTier.jsx:121-127; CurriculumMonth.jsx:139",Medium,"Adopt one label everywhere: 'Term N · Week k' (k = 1–12 teaching weeks, 13–16 consolidation), with the month and date range as secondary text. Backfill term_number and term_week on CurriculumWeek and FinnipedPlacement."
C-16,Seasons / data,"CurriculumMonth, CurriculumWeek, CurriculumDay, CalendarTheme, Activity (non-SH records)","Season words remain in canonical content: month 69f78aae5ea32b793e9f1fad 'light spring breeze'; 69f7201a66cfacfd1a59487f 'new year season'; 69f79e1303a060d3a4f915a4 'seasonal change'; 69f79eb503a060d3a4f915d3 'Four seasonal tree drawings'; week 69f7905a9c96d96ac1f4bf43 'soft spring breeze'; days 69f848da465fa7b59b4bbc7e 'Autumn', 69f84bf8d54aee47b95c519c 'Winter Garden', 69f85c5530cde88bf13c35a6 'Spring Garden'; CalendarTheme 6a05b4813b9a85b9d9ff7f76 'every season', 6a05b4813b9a85b9d9ff7f77 'Spring terms'; Activity 69f75709c60f6b930412bf39 'Autumn Colours'.","jq regex scan (spring|summer|autumn|fall|winter|season) over months, weeks, 2,870 days, placements, resources, CalendarTheme, Activity; verb uses of 'fall' excluded",Medium,"Rewrite with a Term or monsoon/festival wording (for example 'Term 1 garden walk', 'Vesak', 'south-west monsoon'). Full list in notes."
C-17,Seasons / src,"ForestSchool, ParentThisMonth, DailyMomentCard, useDailyMomentPhoto, CanvasGeneratePanel, BulkCurriculumGeneration, generateMonthPrintablePack","The UI and generators use season language: Forest School sessions are labelled 'Spring / Summer', 'Spring / Autumn', 'Autumn / Winter'; 'Milestones for this season'; 'A quiet season'; the photo fallback picks Northern-Hemisphere meteorological seasons; the canvas prompt asks for a 'seasonal nature connection'; the bulk generator writes 'Notice seasonal changes'; the printable pack mood is 'autumn leaf'.","ForestSchool.jsx:55,70,85; ParentThisMonth.jsx:103; DailyMomentCard.jsx:28; useDailyMomentPhoto.js:73-78; CanvasGeneratePanel.jsx:145; BulkCurriculumGeneration.jsx:52; generateMonthPrintablePack/entry.ts:26",Medium,Replace with Term 1/2/3 or wet/dry monsoon wording. Change the photo fallback to key on term or monsoon. The Kasvunpolku 'seasons' used as an age-stage metaphor are out of curriculum scope (Low).
C-18,Evening data,EveningDay / EveningSession,"There are 64 duplicate EveningDay records (the same age group, week_number and day_number, 16 per group; some weeks have 5 days against a 3-day cadence). evening_session_id is empty on all 688 EveningDay records, and EveningSession (208 rows) is not read anywhere in src. age_group_name is inconsistent ('Blossoms' vs 'Blossoms Evening', 'Young Wanderers' vs 'Young Wanderers Evening').",jq on 688 EveningDay: 64 dup groups; evening_session_id empty 688/688; grep EveningSession src = 0 hits,Medium,"Dedupe to one row per (age, week, day_number), backfill evening_session_id or drop the field, and decide whether EveningSession should be shown or retired."
C-19,Schema drift,Activity,"60 of 150 activities have status 'master', which is not in the enum (published/draft/review). Categories 'pedacare' and 'phonido' and block_type 'morning_welcome' are also off-enum. 10 activities have a null age_group_id, 1 sits on a merged tier (69f83a5352432432b8214838), and 59 use theme_id to hold a CurriculumMonth id.",Activity query (150 rows),Low,Normalise status to 'published' and extend or migrate the category enum. Assign canonical tiers. Stop overloading theme_id and add curriculum_month_id instead.
C-20,Printables / test data,Printable,"The 10 seed printables are published with no file_url (69f722e4b88fd62d4bb752b6 to …bf), so they open to nothing. 8 draft 'Sample' records exist (69f9b422a02bd71b58ccc26b to 69f9b42928c02c248bf70997). Tiny Roots has 4 identical 13-item month packs (52 rows: 'Weekly Plan — Week 1' ×4) with no month or week link. Little Wonders and Pre-Primary Plus have no packs. Type 'materials_checklist' is off-enum.",Printable query (129 rows),Low,"Unpublish printables that have no file, delete the Sample drafts, add curriculum_month_id/week_id to the month packs and keep one pack per month, and generate packs for the missing bands."
C-21,Test records,FinnipedResource,"The archived test row 'ZZ schema test (delete me)' is still present. No test, zz, delete, sample or lorem names were found in CurriculumMonth, CurriculumWeek, CurriculumDay or FinnipedPlacement. The CurriculumDay titles 'Testing with Water' and similar are real content.",FinnipedResource 6ab566dac64b719620a698cc,Low,Delete it.
C-22,Month page,CurriculumMonth (Activities tab),"The Activities tab is not month-specific. The filter `a.theme_id === month.theme_id || a.age_group_id === tierId` is always true, because the rows were already fetched by age_group_id, so every month shows the same tier-wide list.",CurriculumMonth.jsx:64-71,Low,"Filter by curriculum_month_id (or theme_id) only, and fall back to the tier list with a label."
C-23,Day page,CurriculumDayPage,"The Day plan page has no Numenature/HeartWise 'open at page' panel. Sessions appear only on the Week page and in DailyPlan, so a teacher who opens a day from the Week page can't reach the session PDF.",grep FinnipedWeekPanel: only CurriculumWeekPage.jsx:304 and DailyPlan.jsx:630,Low,Add a compact 'Today's sessions' strip on the Day page: session number = day index within the week's 3 sessions.
